"distribution: [0,0,0,1,1,1,2,2,3,3,2,2]"
"words: 200"
"errors: 7465"
"haskell demerits lower: 7465"
"seeds: "
"Haskell lower 4795534557992882508, 1563436400035231174"
"Haskell lower -8546452347514393463, -2321942507130902095"
"Haskell lower -8927813168900510848, 6028278354860864693"
"Equal -1076715052240958852, 6209713562716298911"
"Haskell lower -431240158888643407, 2556588297317146480"
"Haskell lower 4374464674310256320, -1501352280532026403"
"Haskell lower -6155758868554880113, 4946930595896308398"
"Haskell lower 3932769838159048566, 2171350816018014729"
"Equal -4546844918010782023, -2366207295041673516"
"Haskell lower 1788179076105103691, 8439624382519209409"
"Haskell lower 4534505797158281966, 4825506069639882090"
"Haskell lower 6277428438479522363, 6943756248174419423"
"Haskell lower 4318978297507145170, 1240061680134596444"
"Equal 2509660170884367155, 7727686982449315192"
"Haskell lower 4255043428769758061, -4644319398883397598"
"Equal 3101721115658813167, 5243114189686557212"
"Haskell lower -189234117498223628, 8734580847920486172"
"Equal -4002478300474657923, -4980711231887982714"
"Haskell lower 520869708084376090, 2780458906981075581"
"Haskell lower -8569651689124669467, -4797575408659092833"
"Haskell lower -8152420376218423244, -2750269434745844361"
"Equal -3555004942357291951, -7595296293110365772"
"Haskell lower 5704721853594650708, -682008601475718025"
"Haskell lower 8748932216491449792, 1007357020775205305"
"Haskell lower 5787918722914970090, -2369272875978131009"
"Equal 1995410055135018104, 7383457387167834018"
"Haskell lower 4465541012486366420, 8298825792516876371"
"Haskell lower 5732042268408417223, 7805174570630245598"
"Haskell lower 8568817595754933280, 6290367317647848223"
"Haskell lower -4607637982075450076, -7641624856268800529"
"Haskell lower 8197416227259695379, 8023889854992205997"
"Haskell lower -7895050403172287499, -1426271327552603354"
"Haskell lower 6816663391539976155, -6832551835383129300"
"Equal 6651299347473771410, 8525976619486714794"
"Haskell lower 6604806079781340354, 5246110561184314826"
"Haskell lower 4880440204661187982, 483824954860337167"
"Equal -737817326382126243, -1309324953558002218"
"Haskell lower -3821740293744859018, -5268890012713753803"
"Haskell lower 7341522620132537089, -4202409603164524237"
"Equal -3620335843966009090, -3930255315581122398"
"Haskell lower 8609613374924840970, -1904716140712374501"
"Equal -5285361336645063088, 4477988092918120112"
"Haskell lower 4089553451643578174, -7771657352347473569"
"Haskell lower 7372740841137581026, 4804456251239734923"
"Haskell lower 7765208471273282181, 7269503122215766318"
"Haskell lower -5483587569268917689, 1896972171287450734"
"Haskell lower 3251006403401938663, 8008605207785273134"
"Haskell lower -8010451409865824727, 795717044616603063"
"Haskell lower -2232703424645745974, 3184538230847441508"
"Haskell lower 5360735044616100466, 8806593343141887073"
"Haskell lower 4412248758901093087, 56169494398943459"
"Equal -6386256664941499325, 1171056572021969369"
"Equal -1162925159312306885, -5616177068610278174"
"Equal -6107968017864444115, 7545555203452736278"
"Haskell lower -6622551504287815200, -3059447090875770641"
"Haskell lower -978459374996066491, -673590184779502192"
"Haskell lower -8694319863239755386, -4000617587383470014"
"Haskell lower -7084467632600400028, 4687280499998939870"
